,Unnamed: 0,Company,2022_Valuation,2023_Valuation,2024_Valuation,Date Joined,Country,City,Industry,Select Investors,Overall_Growth,CAGR (%),Lat,Lng
51,51,N26,9.23,9.23,9.23,1/10/2019,Germany,Berlin,Fintech,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",0.0,0.0,52.3382448,13.088345
52,52,Northvolt,9.08,9.08,9.08,6/12/2019,Sweden,Stockholm,Other,"Vattenfall, Volkswagen Group, Goldman Sachs",0.0,0.0,59.2272559,17.7606917
53,53,Tanium,9.0,9.0,9.0,3/31/2015,United States,Kirkland,Cybersecurity,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",0.0,0.0,47.642425,-122.261879
54,54,Niantic,9.0,9.0,9.0,11/24/2017,United States,San Francisco,Mobile & telecommunications,"Nintendo, Google, Pokemon Company International, Spark Capital",0.0,0.0,37.6403143,-123.173825
55,55,OYO Rooms,9.0,9.0,9.0,9/25/2018,India,Gurugram,Travel,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",0.0,0.0,28.2005681,76.6510198
56,56,Rapyd,8.75,8.75,8.75,12/3/2019,United Kingdom,London,Fintech,"Target Global, General Catalyst, Durable Capital Partners",0.0,0.0,51.2867601,-0.5103751
57,57,Kavak,8.7,8.7,8.7,10/1/2020,Mexico,Lerma de Villada,E-commerce & direct-to-consumer,"DST Global, SoftBank Group, Mountain Nazca",0.0,0.0,19.2458544,-99.5521767
58,58,Snyk,8.6,7.4,7.4,1/21/2020,United States,Boston,Cybersecurity,"BOLDstart Ventures, Google Ventures, Accel",-1.2,-7.24,42.2279112,-71.1912442
59,59,Nuro,8.6,8.6,8.6,2/11/2019,United States,Mountain View,Auto & transportation,"SoftBank Group, Greylock Partners, Gaorong Capital",0.0,0.0,37.3542156,-122.1175575
60,60,Chainalysis,8.6,8.6,8.6,11/23/2020,United States,New York,Fintech,"Addition, Benhcmark, Accel",0.0,0.0,40.476578,-74.258843
61,61,Pony.ai,8.5,8.5,8.6,7/11/2018,United States,Fremont,Artificial intelligence,"Sequoia Capital China, IDG Capital, DCM Ventures",0.1,0.59,37.4542627,-122.1489115
62,62,Personio,8.5,8.5,8.5,1/19/2021,Germany,Munich,Internet software & services,"Global Founders Capital, Nortzone Ventures, Picus Capital",0.0,0.0,48.0616244,11.360777
63,63,SumUp,8.5,8.5,8.5,7/16/2019,United Kingdom,London,Fintech,"American Express Ventures, Goldman Sachs, Bain Capital Credit",0.0,0.0,51.2867601,-0.5103751
64,64,Bolt,8.4,11.0,11.0,5/29/2018,Estonia,Tallinn,Auto & transportation,"Didi Chuxing, Diamler, TMT Investments",2.6,14.43,59.3518076,24.55017
65,65,Bolt,8.4,11.0,8.4,5/29/2018,Estonia,Tallinn,Auto & transportation,"Didi Chuxing, Diamler, TMT Investments",0.0,0.0,59.3518076,24.55017
66,66,Bolt,8.4,8.4,11.0,5/29/2018,Estonia,Tallinn,Auto & transportation,"Didi Chuxing, Diamler, TMT Investments",2.6,14.43,59.3518076,24.55017
67,67,Bolt,8.4,8.4,8.4,5/29/2018,Estonia,Tallinn,Auto & transportation,"Didi Chuxing, Diamler, TMT Investments",0.0,0.0,59.3518076,24.55017
68,68,Lacework,8.3,8.3,8.3,1/7/2021,United States,San Jose,Cybersecurity,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",0.0,0.0,37.1231596,-122.0460405
69,69,Tipalti,8.3,8.3,8.3,10/6/2020,United States,San Mateo,Fintech,"01 Advisors, Zeev Ventures, Group 11",0.0,0.0,37.5128069,-122.3549066
70,70,Tempus,8.1,8.1,8.1,3/21/2018,United States,Chicago,Health,"New Enterprise Associates, T. Rowe Associates, Lightbank",0.0,0.0,41.644531,-87.9400876
71,71,Ramp,8.1,8.1,5.8,3/29/2021,United States,New York,Fintech,"D1 Capital Partners, Stripe, Coatue Management",-2.3,-15.38,40.476578,-74.258843
72,72,Dream11,8.0,8.0,8.0,4/9/2019,India,Mumbai,Internet software & services,"Kaalari Capital, Tencent Holdings, Steadview Capital",0.0,0.0,18.9916479,72.776333
73,73,Fireblocks,8.0,8.0,8.0,7/27/2021,United States,New York,Fintech,"Tenaya Capital, Coatue Management, Stripes Group",0.0,0.0,40.476578,-74.258843
74,74,Flexport,8.0,8.0,8.0,4/30/2018,United States,San Francisco,"Supply chain, logistics, & delivery","Bloomberg Beta, Founders Fund, First Round Capital",0.0,0.0,37.6403143,-123.173825
75,75,FalconX,8.0,8.0,8.0,8/10/2021,United States,San Mateo,Fintech,"Tiger Global Management, American Express Ventures, B Capital Group",0.0,0.0,37.5128069,-122.3549066
76,76,Dapper Labs,7.6,7.6,7.6,3/30/2021,Canada,Vancouver,Internet software & services,"Union Square Ventures, Venrock, Andreessen Horowitz",0.0,0.0,49.1989306,-123.2249611
77,77,Netskope,7.5,7.5,7.5,11/13/2018,United States,Santa Clara,Cybersecurity,"Lightspeed Venture Partners, Social Capital, Accel",0.0,0.0,37.3230027,-122.0048518
78,78,Razorpay,7.5,7.5,7.5,10/11/2020,India,Bengaluru,Fintech,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",0.0,0.0,12.8167936,77.430082
79,79,Automattic,7.5,7.5,7.5,5/27/2013,United States,San Francisco,Internet software & services,"Insight Venture Partners, Lowercase Capital, Polaris Partners",0.0,0.0,37.6403143,-123.173825
80,80,Carta,7.4,7.4,7.4,5/6/2019,United States,San Francisco,Fintech,"Menlo Ventures, Spark Capital, Union Square Ventures",0.0,0.0,37.6403143,-123.173825
